STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
41175,94553,APPL,APPLETHORPE,QLD,OPEN,6/3/1997,,-28.6217,151.9533,871.6,872.6,
41359,94552,YBOK,OAKEY AERO,QLD,OPEN,5/12/1996,,-27.4034,151.7413,405.69,407.1,405.4
41522,94542,YDAY,DALBY AIRPORT,QLD,OPEN,23/6/2006,,-27.1605,151.2634,343.9,344.4,346.6
41525,94555,WCK,WARWICK,QLD,OPEN,31/1/1994,,-28.2061,152.1003,475.4,475.8,
41529,95551,YTWB,TOOWOOMBA AIRPORT,QLD,OPEN,28/6/1996,,-27.5425,151.9134,640.9,641.5,635.8
42112,95529,MILE,MILES CONSTANCE STREET,QLD,OPEN,10/7/1997,,-26.6569,150.1819,304.8,305.2,
43091,94515,YROM,ROMA AIRPORT,QLD,OPEN,28/2/1997,,-26.5474,148.7716,307.38,307.8,314.6
43109,94517,YSGE,ST GEORGE AIRPORT,QLD,OPEN,1/5/1997,,-28.0489,148.5942,198.5,199.1,199.5
44021,94510,YBCV,CHARLEVILLE AERO,QLD,OPEN,23/8/1990,,-26.4139,146.2558,301.6,303.3,305.7
44221,,,CHARLEVILLE AERO COMPARISON,QLD,CLOSED,30/10/2003,9/3/2006,-26.4147,146.2608,302.6,,
45009,95487,YLLE,BALLERA GAS FIELD,QLD,OPEN,10/8/2002,,-27.4008,141.8114,114.5,115.2,117.3
45025,95492,YTGM,THARGOMINDAH AIRPORT,QLD,OPEN,21/7/1999,,-27.9867,143.815,130.886,131.4,132
46012,95695,YWCA,WILCANNIA AERODROME AWS,NSW,OPEN,19/1/2000,,-31.5194,143.385,94.3,94.9,95
46126,95485,YTIB,TIBOOBURRA AIRPORT,NSW,OPEN,22/9/1997,,-29.4448,142.0567,176.4,177.1,178
46128,94686,FOWG,FOWLERS GAP AWS,NSW,OPEN,23/10/2004,,-31.0867,141.7017,181,181.5,
46129,95699,YWHC,WHITE CLIFFS AWS,NSW,OPEN,24/6/2005,,-30.8517,143.0742,158,158.5,161.5
47048,94691,YBHI,BROKEN HILL AIRPORT AWS,NSW,OPEN,1/1/1990,,-32.0012,141.4694,281.3,281.7,292
48027,94711,YCBT,COBAR MO,NSW,OPEN,1/5/1997,,-31.484,145.8294,260,263.6,
48237,94710,YCBA,COBAR AIRPORT AWS,NSW,OPEN,15/6/1993,,-31.5388,145.7964,218,218,220.7
48244,,CBTX,COBAR COMPARISON,NSW,CLOSED,1/11/1997,20/5/2000,-31.4861,145.8281,260,260.5,
48245,94703,YBKE,BOURKE AIRPORT AWS,NSW,OPEN,3/12/1998,,-30.0362,145.9521,107.3,107.8,107.3
49000,95697,YIVO,IVANHOE AERODROME AWS,NSW,OPEN,2/2/2000,,-32.8831,144.3088,100,100.5,100.6
50017,95709,YWWL,WEST WYALONG AIRPORT AWS,NSW,OPEN,8/4/1999,,-33.9382,147.1962,257,257.5,261.8
50137,95708,YCDO,CONDOBOLIN AIRPORT AWS,NSW,OPEN,21/5/1993,,-33.0682,147.2133,192.6,193.5,199
51049,95710,TARS,TRANGIE RESEARCH STATION AWS,NSW,OPEN,8/10/1997,,-31.9861,147.9489,215,215.7,
51161,95718,YCNM,COONAMBLE AIRPORT AWS,NSW,OPEN,17/9/1997,,-30.9776,148.3798,181.3,182,184.2
52088,95715,YWLG,WALGETT AIRPORT AWS,NSW,OPEN,21/5/1997,,-30.0372,148.1223,133,134,133.8
53115,95527,YMOR,MOREE AERO,NSW,OPEN,10/4/1995,,-29.4898,149.8471,213,218.5,213.7
